"'new[]' array freed with 'delete'","An array allocated with 'new[]' is being freed using 'delete'. Behavior in such cases is undefined and should be avoided. Use 'delete[]' when freeing arrays allocated with 'new[]'.","warning","This memory may have been allocated with [[""new[]""|""relative:///oss-fuzz/main.cc:47:11:47:25""]], not 'new'.","/oss-fuzz/main.cc","62","5","62","16", "TRUE; This is an UB of c/cpp"
"Memory is never freed","A function always returns before freeing memory that was allocated in the function. Freeing all memory allocated in the function before returning ties the lifetime of the memory blocks to that of the function call, making it easier to avoid and detect memory leaks.","warning","This memory is never freed.","/Magick++/lib/Exception.cpp","794","14","794","35", "FALSE; Context is limited! CodeQL missed some important program point of the sink, in this file, the destructor will release nested member automatically."
"Memory is never freed","A function always returns before freeing memory that was allocated in the function. Freeing all memory allocated in the function before returning ties the lifetime of the memory blocks to that of the function call, making it easier to avoid and detect memory leaks.","warning","This memory is never freed.","/Magick++/lib/Exception.cpp","786","14","786","46", "FALSE; Similarly! CodeQL missed some important implementations of the member functions."
"Memory is never freed","A function always returns before freeing memory that was allocated in the function. Freeing all memory allocated in the function before returning ties the lifetime of the memory blocks to that of the function call, making it easier to avoid and detect memory leaks.","warning","This memory is never freed.","/Magick++/lib/Drawable.cpp","1073","10","1073","39", "FALSE; Context is limited! This method is not called in the real project."
"Memory is never freed","A function always returns before freeing memory that was allocated in the function. Freeing all memory allocated in the function before returning ties the lifetime of the memory blocks to that of the function call, making it easier to avoid and detect memory leaks.","warning","This memory is never freed.","/Magick++/lib/Drawable.cpp","862","10","862","32", "FALSE; Similarly! This method is not called in the real project."
"Memory is never freed","A function always returns before freeing memory that was allocated in the function. Freeing all memory allocated in the function before returning ties the lifetime of the memory blocks to that of the function call, making it easier to avoid and detect memory leaks.","warning","This memory is never freed.","/Magick++/lib/Drawable.cpp","2315","10","2315","49", "FALSE; Similarly! This method is not called in the real project."
"Memory is never freed","A function always returns before freeing memory that was allocated in the function. Freeing all memory allocated in the function before returning ties the lifetime of the memory blocks to that of the function call, making it easier to avoid and detect memory leaks.","warning","This memory is never freed.","/Magick++/lib/Exception.cpp","769","14","769","37", "FALSE; Similarly! CodeQL missed some important implementations of the member functions."
"Memory is never freed","A function always returns before freeing memory that was allocated in the function. Freeing all memory allocated in the function before returning ties the lifetime of the memory blocks to that of the function call, making it easier to avoid and detect memory leaks.","warning","This memory is never freed.","/Magick++/lib/Drawable.cpp","746","10","746","42", "FALSE; Similarly! This method is not called in the real project."
"Memory is never freed","A function always returns before freeing memory that was allocated in the function. Freeing all memory allocated in the function before returning ties the lifetime of the memory blocks to that of the function call, making it easier to avoid and detect memory leaks.","warning","This memory is never freed.","/Magick++/lib/Exception.cpp","719","14","719","36", "FALSE; Similarly! CodeQL missed some important implementations of the member functions."
"Memory is never freed","A function always returns before freeing memory that was allocated in the function. Freeing all memory allocated in the function before returning ties the lifetime of the memory blocks to that of the function call, making it easier to avoid and detect memory leaks.","warning","This memory is never freed.","/Magick++/lib/Drawable.cpp","218","10","218","33", "FALSE; Similarly! This method is not called in the real project."
