"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/src/media_tools/isom_tools.c","2546","21","2546","26", "TRUE; There lack a null check statement to avoid NPD"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/src/filters/out_rtp.c","168","8","168","9", "FALSE; Context is limited! CodeQL do not find that this path will not reachable when the streams is NULL"
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/src/laser/lsr_dec.c","5443","34","5443","34", "FALSE; Context is complex and CodeQL missed some critical parts of it! The program point of this sink is unreachable when the value is NULL."
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/src/filters/bs_split.c","726","16","726","18", "FALSE; Context is complex and CodeQL missed other implicit null check statements! This sink point can not be reachable when the value is NULL."
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/src/filter_core/filter_pid.c","6634","42","6634","44", "FALSE;Context is complex and the chain of function call is deep. Actually, this sink will not affect the function of original logic."
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/src/utils/os_config_init.c","1120","21","1120","23", "TRUE; There is a path lead to NPD from this reported program point. The function call stack is deep."
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/src/filters/in_rtp_signaling.c","859","3","859","5", "TRUE; There is a path lead to NPD, there might be NULL when the alloc failed."
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/src/scene_manager/loader_bt.c","2708","19","2708","21", "TRUE; There is a path lead to NPD, there might be NULL when the alloc failed."
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/src/filters/encrypt_cenc_isma.c","2467","22","2467","27", "FALSE; Context is complex and CodeQL missed several null check statements."
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/src/media_tools/isom_tools.c","2873","21","2873","22", "FALSE; The sink will not be reachable if it is NULL, need path-sensitive analysis."
